year,msa,y_hat,real_rent_growth_next_year
2004,Akron - OH,-0.0407603975227101,-0.0256672063991427
2004,Albany - NY,-0.021099233960732898,-0.0163739603161812
2004,Albuquerque - NM,-0.047619761510752104,-0.0159002710282803
2004,Ann Arbor - MI,-0.0414674749672412,-0.0257876720428466
2004,Atlanta - GA,-0.1329005790948868,-0.0313559055943042
2004,Austin - TX,-0.05305320364004,-0.0153502449542284
2004,Bakersfield - CA,-0.043012125611305296,0.0116167459487914
2004,Baltimore - MD,-0.005228718005120501,-0.0190694919005036
2004,Baton Rouge - LA,-0.0754681510925293,-0.0249595921635627
2004,Birmingham - AL,-0.0764119580462575,-0.0218096636384726
2004,Boston - MA,0.02105114962160641,-0.0352321851681917
2004,Buffalo - NY,-0.0216069975476713,-0.0170426704138517
2004,Charleston - SC,-0.07842655313014979,-0.0230050077810884
2004,Charlotte - NC,-0.1718385496251284,-0.0312461492288857
2004,Chicago - IL,-0.0273960420936345,-0.0201905723810196
2004,Cincinnati - OH,-0.0440960750756784,-0.026560728918761
2004,Cleveland - OH,-0.0594842736218123,-0.0147232636958361
2004,Colorado Springs - CO,-0.0560116877177206,-0.0258178766965866
2004,Columbia - SC,-0.0741338536217809,-0.0188856348544359
2004,Columbus - OH,-0.08003938007913511,-0.0259847380369901
2004,Corpus Christi - TX,-0.0475117570795117,-0.0157796256393194
2004,Dallas-Fort Worth - TX,-0.054621486376156006,-0.0282684802226722
2004,Dayton - OH,-0.039719432669691704,-0.0248147882670164
2004,Denver - CO,-0.0932750377878545,-0.0294792750068008
2004,Des Moines - IA,-0.041647134775295705,-0.0243733199462294
2004,Detroit - MI,-0.042722096627578005,-0.0426928075179457
2004,Durham - NC,-0.0809955505728721,-0.0230871904790401
2004,East Bay - CA,-0.10090052076429121,-0.0218722950816154
2004,El Paso - TX,-0.0474713418707252,-0.0166539363712072
2004,Fargo - ND,-0.0398777029085903,-0.0267166081033647
2004,Fort Lauderdale - FL,-0.014055890224874,0.029184268772602
2004,Fresno - CA,-0.035748204410076,0.0053297560513019
2004,Gainesville - FL,-0.0773251431137322,-0.0226342333629727
2004,Grand Rapids - MI,-0.0359786604139953,-0.0261355107799172
2004,Greensboro - NC,-0.07763381880521769,-0.0235466947928071
2004,Greenville - SC,-0.0771185971871017,-0.0216691680401564
2004,Harrisburg - PA,-0.0203267156220973,-0.0163919553309679
2004,Hartford - CT,-0.0232849308131262,-0.0233426280468702
2004,Honolulu - HI,-0.0090651132240891,0.0401835087537766
2004,Houston - TX,-0.0249507680609821,-0.0082051549255848
2004,Indianapolis - IN,-0.0665058448985218,-0.0191935571059585
2004,Inland Empire - CA,0.10092650893330579,0.0110587756931781
2004,Jackson - MS,-0.0721527759060263,-0.0225190315544605
2004,Jacksonville - FL,-0.0225246643722056,-0.0031633302718401
2004,Kansas City - MO,-0.04609224894829089,-0.0293955058008432
